Date,GLD
2019-01-01,0.02998517227836217
2019-02-01,0.0
2019-03-01,-0.021493305419054365
2019-04-01,-0.009671340746787216
2019-05-01,0.007117442665886875
2019-06-01,0.09458455317541836
2019-07-01,0.013363354505094183
2019-08-01,0.06497262224073164
2019-09-01,-0.018713060461956532
2019-10-01,-0.0002835196854170663
2019-11-01,-0.022408194343860433
2019-12-01,0.03460035000248518
2020-01-01,0.04094507563600547
2020-02-01,-0.000606158396650569
2020-03-01,0.03059706925955763
2020-04-01,0.057611807900105116
2020-05-01,0.007296160055295209
2020-06-01,0.02283470098262752
2020-07-01,0.1028025512936317
2020-08-01,0.0034284115239733293
2020-09-01,-0.03362436666177626
2020-10-01,-0.011167885211845419
2020-11-01,-0.04772987405090434
2020-12-01,0.05906194683022514
